-------------------------------------------------------------
|    x    |        u(z) РК4        |        f(z) РК4        |
-------------------------------------------------------------
| 0.10000 |     -1.055871e-03      |      4.413043e+06      |
| 0.11250 |     -1.773931e-01      |      2.958385e+09      |
| 0.12500 |     -7.518341e-01      |      1.258715e+10      |
| 0.13125 |     -1.752510e+00      |      2.938438e+10      |
| 0.13437 |     -2.562727e+00      |      4.300226e+10      |
| 0.13750 |     -3.698498e+00      |      6.210642e+10      |
| 0.14062 |     -5.338896e+00      |      8.971601e+10      |
| 0.14219 |     -6.423084e+00      |      1.079718e+11      |
| 0.14375 |     -7.718363e+00      |      1.297887e+11      |
| 0.14531 |     -9.275335e+00      |      1.560210e+11      |
| 0.14687 |     -1.114695e+01      |      1.875635e+11      |
| 0.14844 |     -1.339689e+01      |      2.254924e+11      |
| 0.14922 |     -1.468851e+01      |      2.472706e+11      |
| 0.15000 |     -1.610330e+01      |      2.711288e+11      |
| 0.15078 |     -1.765457e+01      |      2.972920e+11      |
| 0.15156 |     -1.935550e+01      |      3.259830e+11      |
| 0.15234 |     -2.122054e+01      |      3.574464e+11      |
| 0.15313 |     -2.326554e+01      |      3.919503e+11      |
| 0.15391 |     -2.550790e+01      |      4.297889e+11      |
| 0.15469 |     -2.796668e+01      |      4.712846e+11      |
| 0.15547 |     -3.361916e+01      |      5.666974e+11      |
| 0.15625 |     -3.686095e+01      |      6.214281e+11      |
| 0.15781 |     -4.858310e+01      |      8.193813e+11      |
| 0.15938 |     -5.840927e+01      |      9.853652e+11      |
| 0.16250 |     -1.013670e+02      |      1.711365e+12      |
| 0.16563 |     -1.465571e+02      |      2.475500e+12      |
| 0.16875 |     -2.119191e+02      |      3.581195e+12      |
| 0.16914 |     -1.609850e+02      |      2.719521e+12      |
| 0.16992 |     -1.765330e+02      |      2.982521e+12      |
| 0.17031 |     -1.848640e+02      |      3.123454e+12      |
| 0.17109 |     -2.122868e+02      |      3.587406e+12      |
| 0.17188 |     -2.327963e+02      |      3.934439e+12      |
| 0.17344 |     -3.069734e+02      |      5.189826e+12      |
| 0.17500 |     -3.691749e+02      |      6.242789e+12      |
| 0.17656 |     -4.439910e+02      |      7.509543e+12      |
| 0.17813 |     -5.339817e+02      |      9.033516e+12      |
| 0.17969 |     -6.422266e+02      |      1.086696e+13      |
| 0.18047 |     -6.423073e+02      |      1.086833e+13      |
| 0.18125 |     -7.044134e+02      |      1.192042e+13      |
| 0.18281 |     -9.290502e+02      |      1.572654e+13      |
| 0.18438 |     -1.117448e+03      |      1.891935e+13      |
| 0.18594 |     -1.344074e+03      |      2.276069e+13      |
| 0.18750 |     -1.616688e+03      |      2.738234e+13      |
| 0.18828 |     -1.616903e+03      |      2.738598e+13      |
| 0.18906 |     -1.773326e+03      |      3.003815e+13      |
| 0.19063 |     -2.339121e+03      |      3.963298e+13      |
| 0.19219 |     -2.813683e+03      |      4.768227e+13      |
| 0.19375 |     -3.384567e+03      |      5.736690e+13      |
| 0.19531 |     -4.071327e+03      |      6.901915e+13      |
| 0.19609 |     -4.071897e+03      |      6.902881e+13      |
| 0.19688 |     -4.465965e+03      |      7.571573e+13      |
| 0.19766 |     -4.898183e+03      |      8.305057e+13      |
| 0.19844 |     -5.372243e+03      |      9.109611e+13      |
| 0.19922 |     -5.892197e+03      |      9.992122e+13      |
| 0.20000 |     -6.462490e+03      |      1.096014e+14      |
| 0.20078 |     -7.087993e+03      |      1.202196e+14      |
| 0.20156 |     -7.774054e+03      |      1.318667e+14      |
| 0.20234 |     -8.526535e+03      |      1.446422e+14      |
| 0.20313 |     -9.351866e+03      |      1.586557e+14      |
| 0.20391 |     -1.025710e+04      |      1.740270e+14      |
| 0.20469 |     -1.124998e+04      |      1.908877e+14      |
| 0.20547 |     -1.233898e+04      |      2.093820e+14      |
| 0.20625 |     -1.353341e+04      |      2.296683e+14      |
| 0.20703 |     -1.484347e+04      |      2.519202e+14      |
| 0.20781 |     -1.628037e+04      |      2.763281e+14      |
| 0.20859 |     -1.785638e+04      |      3.031008e+14      |
| 0.20938 |     -1.958497e+04      |      3.324674e+14      |
