Максимальный шаг, при которых РК2 и РK4 совпадают h = 1.869159e-03          
Число узлов n = 535 при данном h
-------------------------------------------------------------
|    x    |        u(z) РК2        |        u(z) РК4        |
-------------------------------------------------------------
| 0.00000 |      3.920530e-07      |      3.920530e-07      |
| 0.00187 |      3.920523e-07      |      3.920523e-07      |
| 0.00374 |      3.920501e-07      |      3.920501e-07      |
| 0.00561 |      3.920464e-07      |      3.920464e-07      |
| 0.00748 |      3.920413e-07      |      3.920413e-07      |
| 0.00935 |      3.920347e-07      |      3.920347e-07      |
| 0.01121 |      3.920267e-07      |      3.920267e-07      |
| 0.01308 |      3.920171e-07      |      3.920171e-07      |
| 0.01495 |      3.920062e-07      |      3.920062e-07      |
| 0.01682 |      3.919937e-07      |      3.919937e-07      |
| 0.01869 |      3.919798e-07      |      3.919798e-07      |
| 0.02056 |      3.919645e-07      |      3.919645e-07      |
| 0.02243 |      3.919476e-07      |      3.919476e-07      |
| 0.02430 |      3.919293e-07      |      3.919293e-07      |
| 0.02617 |      3.919096e-07      |      3.919096e-07      |
| 0.02804 |      3.918884e-07      |      3.918884e-07      |
| 0.02991 |      3.918657e-07      |      3.918657e-07      |
| 0.03178 |      3.918415e-07      |      3.918415e-07      |
| 0.03364 |      3.918159e-07      |      3.918159e-07      |
| 0.03551 |      3.917889e-07      |      3.917889e-07      |
| 0.03738 |      3.917603e-07      |      3.917603e-07      |
| 0.03925 |      3.917303e-07      |      3.917303e-07      |
| 0.04112 |      3.916989e-07      |      3.916989e-07      |
| 0.04299 |      3.916659e-07      |      3.916659e-07      |
| 0.04486 |      3.916315e-07      |      3.916315e-07      |
| 0.04673 |      3.915957e-07      |      3.915957e-07      |
| 0.04860 |      3.915584e-07      |      3.915584e-07      |
| 0.05047 |      3.915196e-07      |      3.915196e-07      |
| 0.05234 |      3.914793e-07      |      3.914793e-07      |
| 0.05421 |      3.914376e-07      |      3.914376e-07      |
| 0.05607 |      3.913945e-07      |      3.913945e-07      |
| 0.05794 |      3.913498e-07      |      3.913498e-07      |
| 0.05981 |      3.913037e-07      |      3.913037e-07      |
| 0.06168 |      3.912562e-07      |      3.912562e-07      |
| 0.06355 |      3.912071e-07      |      3.912071e-07      |
| 0.06542 |      3.911566e-07      |      3.911566e-07      |
| 0.06729 |      3.911047e-07      |      3.911047e-07      |
| 0.06916 |      3.910513e-07      |      3.910513e-07      |
| 0.07103 |      3.909964e-07      |      3.909964e-07      |
| 0.07290 |      3.909401e-07      |      3.909401e-07      |
| 0.07477 |      3.908822e-07      |      3.908822e-07      |
| 0.07664 |      3.908230e-07      |      3.908230e-07      |
| 0.07850 |      3.907622e-07      |      3.907622e-07      |
| 0.08037 |      3.907000e-07      |      3.907000e-07      |
| 0.08224 |      3.906364e-07      |      3.906364e-07      |
| 0.08411 |      3.905713e-07      |      3.905713e-07      |
| 0.08598 |      3.905047e-07      |      3.905047e-07      |
| 0.08785 |      3.904366e-07      |      3.904366e-07      |
| 0.08972 |      3.903671e-07      |      3.903671e-07      |
| 0.09159 |      3.902961e-07      |      3.902961e-07      |
| 0.09346 |      3.902237e-07      |      3.902237e-07      |
| 0.09533 |      3.901498e-07      |      3.901498e-07      |
| 0.09720 |      3.900744e-07      |      3.900744e-07      |
| 0.09907 |      3.899976e-07      |      3.899976e-07      |
| 0.10093 |      3.899193e-07      |      3.899193e-07      |
| 0.10280 |      3.898396e-07      |      3.898396e-07      |
| 0.10467 |      3.897583e-07      |      3.897583e-07      |
| 0.10654 |      3.896757e-07      |      3.896757e-07      |
| 0.10841 |      3.895915e-07      |      3.895915e-07      |
| 0.11028 |      3.895059e-07      |      3.895059e-07      |
| 0.11215 |      3.894189e-07      |      3.894189e-07      |
| 0.11402 |      3.893304e-07      |      3.893304e-07      |
| 0.11589 |      3.892404e-07      |      3.892404e-07      |
| 0.11776 |      3.891490e-07      |      3.891490e-07      |
| 0.11963 |      3.890561e-07      |      3.890561e-07      |
| 0.12150 |      3.889617e-07      |      3.889617e-07      |
| 0.12336 |      3.888659e-07      |      3.888659e-07      |
| 0.12523 |      3.887686e-07      |      3.887686e-07      |
| 0.12710 |      3.886699e-07      |      3.886699e-07      |
| 0.12897 |      3.885697e-07      |      3.885697e-07      |
| 0.13084 |      3.884681e-07      |      3.884681e-07      |
| 0.13271 |      3.883649e-07      |      3.883649e-07      |
| 0.13458 |      3.882604e-07      |      3.882604e-07      |
| 0.13645 |      3.881544e-07      |      3.881544e-07      |
| 0.13832 |      3.880469e-07      |      3.880469e-07      |
| 0.14019 |      3.879380e-07      |      3.879380e-07      |
| 0.14206 |      3.878276e-07      |      3.878276e-07      |
| 0.14393 |      3.877158e-07      |      3.877158e-07      |
| 0.14579 |      3.876025e-07      |      3.876025e-07      |
| 0.14766 |      3.874877e-07      |      3.874877e-07      |
| 0.14953 |      3.873716e-07      |      3.873716e-07      |
| 0.15140 |      3.872539e-07      |      3.872539e-07      |
| 0.15327 |      3.871348e-07      |      3.871348e-07      |
| 0.15514 |      3.870143e-07      |      3.870143e-07      |
| 0.15701 |      3.868923e-07      |      3.868923e-07      |
| 0.15888 |      3.867689e-07      |      3.867689e-07      |
| 0.16075 |      3.866440e-07      |      3.866440e-07      |
| 0.16262 |      3.865176e-07      |      3.865176e-07      |
| 0.16449 |      3.863899e-07      |      3.863899e-07      |
| 0.16636 |      3.862607e-07      |      3.862607e-07      |
| 0.16822 |      3.861300e-07      |      3.861300e-07      |
| 0.17009 |      3.859979e-07      |      3.859979e-07      |
| 0.17196 |      3.858644e-07      |      3.858644e-07      |
| 0.17383 |      3.857294e-07      |      3.857294e-07      |
| 0.17570 |      3.855930e-07      |      3.855930e-07      |
| 0.17757 |      3.854551e-07      |      3.854551e-07      |
| 0.17944 |      3.853158e-07      |      3.853158e-07      |
| 0.18131 |      3.851751e-07      |      3.851751e-07      |
| 0.18318 |      3.850329e-07      |      3.850329e-07      |
| 0.18505 |      3.848893e-07      |      3.848893e-07      |
| 0.18692 |      3.847443e-07      |      3.847443e-07      |
| 0.18879 |      3.845979e-07      |      3.845979e-07      |
| 0.19065 |      3.844500e-07      |      3.844500e-07      |
| 0.19252 |      3.843007e-07      |      3.843007e-07      |
| 0.19439 |      3.841500e-07      |      3.841500e-07      |
| 0.19626 |      3.839978e-07      |      3.839978e-07      |
| 0.19813 |      3.838442e-07      |      3.838442e-07      |
| 0.20000 |      3.836893e-07      |      3.836893e-07      |
| 0.20187 |      3.835328e-07      |      3.835329e-07      |
| 0.20374 |      3.833750e-07      |      3.833750e-07      |
| 0.20561 |      3.832158e-07      |      3.832158e-07      |
