ksi принадлежит интервалу (0.153026  ,   0.153041)
-------------------------------------------------------------
|    x    |          u(z)          |          F(z)          |
-------------------------------------------------------------
| 0.00000 |      3.920436e-07      |      0.000000e+00      |
| 0.01667 |      3.919854e-07      |      1.945865e+02      |
| 0.03333 |      3.918109e-07      |      3.891894e+02      |
| 0.05000 |      3.915201e-07      |      5.838178e+02      |
| 0.06667 |      3.911128e-07      |      7.784732e+02      |
| 0.08333 |      3.905892e-07      |      9.731453e+02      |
| 0.10000 |      3.899493e-07      |      1.167807e+03      |
| 0.11667 |      3.891931e-07      |      1.362409e+03      |
| 0.13333 |      3.883208e-07      |      1.556880e+03      |
| 0.15000 |      3.873328e-07      |      1.751116e+03      |
| 0.16667 |      3.862295e-07      |      1.944981e+03      |
| 0.18333 |      3.850114e-07      |      2.138304e+03      |
| 0.20000 |      3.836796e-07      |      2.330870e+03      |
| 0.21667 |      3.822350e-07      |      2.522421e+03      |
| 0.23333 |      3.806794e-07      |      2.712652e+03      |
| 0.25000 |      3.790146e-07      |      2.901207e+03      |
| 0.26667 |      3.772429e-07      |      3.087676e+03      |
| 0.28333 |      3.753674e-07      |      3.271598e+03      |
| 0.30000 |      3.733914e-07      |      3.452453e+03      |
| 0.31667 |      3.713193e-07      |      3.629669e+03      |
| 0.33333 |      3.691557e-07      |      3.802619e+03      |
| 0.35000 |      3.669063e-07      |      3.970624e+03      |
| 0.36667 |      3.645774e-07      |      4.132959e+03      |
| 0.38333 |      3.621764e-07      |      4.288855e+03      |
| 0.40000 |      3.597111e-07      |      4.437510e+03      |
| 0.41667 |      3.571906e-07      |      4.578095e+03      |
| 0.43333 |      3.546245e-07      |      4.709766e+03      |
| 0.45000 |      3.520233e-07      |      4.831679e+03      |
| 0.46667 |      3.493984e-07      |      4.943002e+03      |
| 0.48333 |      3.467616e-07      |      5.042935e+03      |
| 0.50000 |      3.441255e-07      |      5.130726e+03      |
| 0.51667 |      3.415029e-07      |      5.205695e+03      |
| 0.53333 |      3.389072e-07      |      5.267252e+03      |
| 0.55000 |      3.363516e-07      |      5.314923e+03      |
| 0.56667 |      3.338492e-07      |      5.348368e+03      |
| 0.58333 |      3.314132e-07      |      5.367407e+03      |
| 0.60000 |      3.290557e-07      |      5.372036e+03      |
| 0.61667 |      3.267885e-07      |      5.362446e+03      |
| 0.63333 |      3.246223e-07      |      5.339035e+03      |
| 0.65000 |      3.225665e-07      |      5.302417e+03      |
| 0.66667 |      3.206292e-07      |      5.253417e+03      |
| 0.68333 |      3.188171e-07      |      5.193073e+03      |
| 0.70000 |      3.171351e-07      |      5.122614e+03      |
| 0.71667 |      3.155865e-07      |      5.043435e+03      |
| 0.73333 |      3.141728e-07      |      4.957065e+03      |
| 0.75000 |      3.128940e-07      |      4.865118e+03      |
| 0.76667 |      3.117481e-07      |      4.769245e+03      |
| 0.78333 |      3.107319e-07      |      4.671072e+03      |
| 0.80000 |      3.098407e-07      |      4.572141e+03      |
| 0.81667 |      3.090687e-07      |      4.473844e+03      |
| 0.83333 |      3.084090e-07      |      4.377379e+03      |
| 0.85000 |      3.078539e-07      |      4.283700e+03      |
| 0.86667 |      3.073950e-07      |      4.193498e+03      |
| 0.88333 |      3.070235e-07      |      4.107196e+03      |
| 0.90000 |      3.067299e-07      |      4.024972e+03      |
| 0.91667 |      3.065049e-07      |      3.946799e+03      |
| 0.93333 |      3.063387e-07      |      3.872500e+03      |
| 0.95000 |      3.062216e-07      |      3.801804e+03      |
| 0.96667 |      3.061441e-07      |      3.734397e+03      |
| 0.98333 |      3.060970e-07      |      3.669956e+03      |
| 1.00000 |      3.060718e-07      |      3.608170e+03      |
-------------------------------------------------------------
