Число узлов n = 10001
-------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |
-------------------------------------------------------------
| 0.00000 |      3.920436e-07      |      0.000000e+00      |
| 0.00010 |      3.920436e-07      |      1.167519e+00      |
| 0.00020 |      3.920436e-07      |      2.335038e+00      |
| 0.00030 |      3.920436e-07      |      3.502557e+00      |
| 0.00040 |      3.920436e-07      |      4.670076e+00      |
| 0.00050 |      3.920436e-07      |      5.837595e+00      |
| 0.00060 |      3.920435e-07      |      7.005115e+00      |
| 0.00070 |      3.920435e-07      |      8.172634e+00      |
| 0.00080 |      3.920435e-07      |      9.340153e+00      |
| 0.00090 |      3.920435e-07      |      1.050767e+01      |
| 0.00100 |      3.920434e-07      |      1.167519e+01      |
| 0.00110 |      3.920434e-07      |      1.284271e+01      |
| 0.00120 |      3.920433e-07      |      1.401023e+01      |
| 0.00130 |      3.920433e-07      |      1.517775e+01      |
| 0.00140 |      3.920432e-07      |      1.634527e+01      |
| 0.00150 |      3.920431e-07      |      1.751279e+01      |
| 0.00160 |      3.920431e-07      |      1.868031e+01      |
| 0.00170 |      3.920430e-07      |      1.984783e+01      |
| 0.00180 |      3.920429e-07      |      2.101535e+01      |
| 0.00190 |      3.920429e-07      |      2.218287e+01      |
| 0.00200 |      3.920428e-07      |      2.335039e+01      |
| 0.00210 |      3.920427e-07      |      2.451791e+01      |
| 0.00220 |      3.920426e-07      |      2.568543e+01      |
| 0.00230 |      3.920425e-07      |      2.685295e+01      |
| 0.00240 |      3.920424e-07      |      2.802047e+01      |
| 0.00250 |      3.920423e-07      |      2.918799e+01      |
| 0.00260 |      3.920422e-07      |      3.035551e+01      |
| 0.00270 |      3.920421e-07      |      3.152303e+01      |
| 0.00280 |      3.920420e-07      |      3.269055e+01      |
| 0.00290 |      3.920419e-07      |      3.385807e+01      |
| 0.00300 |      3.920417e-07      |      3.502559e+01      |
| 0.00310 |      3.920416e-07      |      3.619311e+01      |
| 0.00320 |      3.920415e-07      |      3.736063e+01      |
| 0.00330 |      3.920413e-07      |      3.852815e+01      |
| 0.00340 |      3.920412e-07      |      3.969567e+01      |
| 0.00350 |      3.920411e-07      |      4.086319e+01      |
| 0.00360 |      3.920409e-07      |      4.203071e+01      |
| 0.00370 |      3.920408e-07      |      4.319823e+01      |
| 0.00380 |      3.920406e-07      |      4.436576e+01      |
| 0.00390 |      3.920404e-07      |      4.553328e+01      |
| 0.00400 |      3.920403e-07      |      4.670080e+01      |
| 0.00410 |      3.920401e-07      |      4.786832e+01      |
| 0.00420 |      3.920399e-07      |      4.903584e+01      |
| 0.00430 |      3.920397e-07      |      5.020337e+01      |
| 0.00440 |      3.920396e-07      |      5.137089e+01      |
| 0.00450 |      3.920394e-07      |      5.253841e+01      |
| 0.00460 |      3.920392e-07      |      5.370593e+01      |
| 0.00470 |      3.920390e-07      |      5.487346e+01      |
| 0.00480 |      3.920388e-07      |      5.604098e+01      |
| 0.00490 |      3.920386e-07      |      5.720850e+01      |
| 0.00500 |      3.920384e-07      |      5.837602e+01      |
| 0.00510 |      3.920382e-07      |      5.954355e+01      |
| 0.00520 |      3.920380e-07      |      6.071107e+01      |
| 0.00530 |      3.920377e-07      |      6.187860e+01      |
| 0.00540 |      3.920375e-07      |      6.304612e+01      |
| 0.00550 |      3.920373e-07      |      6.421364e+01      |
| 0.00560 |      3.920371e-07      |      6.538117e+01      |
| 0.00570 |      3.920368e-07      |      6.654869e+01      |
| 0.00580 |      3.920366e-07      |      6.771622e+01      |
| 0.00590 |      3.920363e-07      |      6.888374e+01      |
| 0.00600 |      3.920361e-07      |      7.005127e+01      |
| 0.00610 |      3.920358e-07      |      7.121879e+01      |
| 0.00620 |      3.920356e-07      |      7.238632e+01      |
| 0.00630 |      3.920353e-07      |      7.355384e+01      |
| 0.00640 |      3.920350e-07      |      7.472137e+01      |
| 0.00650 |      3.920348e-07      |      7.588889e+01      |
| 0.00660 |      3.920345e-07      |      7.705642e+01      |
| 0.00670 |      3.920342e-07      |      7.822395e+01      |
| 0.00680 |      3.920339e-07      |      7.939147e+01      |
| 0.00690 |      3.920337e-07      |      8.055900e+01      |
| 0.00700 |      3.920334e-07      |      8.172653e+01      |
| 0.00710 |      3.920331e-07      |      8.289406e+01      |
| 0.00720 |      3.920328e-07      |      8.406158e+01      |
| 0.00730 |      3.920325e-07      |      8.522911e+01      |
| 0.00740 |      3.920322e-07      |      8.639664e+01      |
| 0.00750 |      3.920318e-07      |      8.756417e+01      |
| 0.00760 |      3.920315e-07      |      8.873170e+01      |
| 0.00770 |      3.920312e-07      |      8.989923e+01      |
| 0.00780 |      3.920309e-07      |      9.106676e+01      |
| 0.00790 |      3.920306e-07      |      9.223428e+01      |
| 0.00800 |      3.920302e-07      |      9.340181e+01      |
| 0.00810 |      3.920299e-07      |      9.456934e+01      |
| 0.00820 |      3.920295e-07      |      9.573687e+01      |
| 0.00830 |      3.920292e-07      |      9.690440e+01      |
| 0.00840 |      3.920288e-07      |      9.807194e+01      |
| 0.00850 |      3.920285e-07      |      9.923947e+01      |
| 0.00860 |      3.920281e-07      |      1.004070e+02      |
| 0.00870 |      3.920278e-07      |      1.015745e+02      |
| 0.00880 |      3.920274e-07      |      1.027421e+02      |
| 0.00890 |      3.920270e-07      |      1.039096e+02      |
| 0.00900 |      3.920267e-07      |      1.050771e+02      |
| 0.00910 |      3.920263e-07      |      1.062447e+02      |
| 0.00920 |      3.920259e-07      |      1.074122e+02      |
| 0.00930 |      3.920255e-07      |      1.085797e+02      |
| 0.00940 |      3.920251e-07      |      1.097473e+02      |
| 0.00950 |      3.920247e-07      |      1.109148e+02      |
| 0.00960 |      3.920243e-07      |      1.120823e+02      |
| 0.00970 |      3.920239e-07      |      1.132499e+02      |
| 0.00980 |      3.920235e-07      |      1.144174e+02      |
| 0.00990 |      3.920231e-07      |      1.155849e+02      |
| 0.01000 |      3.920227e-07      |      1.167525e+02      |
| 0.01010 |      3.920223e-07      |      1.179200e+02      |
| 0.01020 |      3.920218e-07      |      1.190875e+02      |
| 0.01030 |      3.920214e-07      |      1.202551e+02      |
| 0.01040 |      3.920210e-07      |      1.214226e+02      |
| 0.01050 |      3.920205e-07      |      1.225902e+02      |
| 0.01060 |      3.920201e-07      |      1.237577e+02      |
| 0.01070 |      3.920196e-07      |      1.249252e+02      |
| 0.01080 |      3.920192e-07      |      1.260928e+02      |
| 0.01090 |      3.920187e-07      |      1.272603e+02      |
| 0.01100 |      3.920183e-07      |      1.284278e+02      |
| 0.01110 |      3.920178e-07      |      1.295954e+02      |
| 0.01120 |      3.920174e-07      |      1.307629e+02      |
| 0.01130 |      3.920169e-07      |      1.319305e+02      |
| 0.01140 |      3.920164e-07      |      1.330980e+02      |
| 0.01150 |      3.920159e-07      |      1.342655e+02      |
| 0.01160 |      3.920154e-07      |      1.354331e+02      |
| 0.01170 |      3.920150e-07      |      1.366006e+02      |
| 0.01180 |      3.920145e-07      |      1.377682e+02      |
| 0.01190 |      3.920140e-07      |      1.389357e+02      |
| 0.01200 |      3.920135e-07      |      1.401033e+02      |
| 0.01210 |      3.920130e-07      |      1.412708e+02      |
| 0.01220 |      3.920125e-07      |      1.424383e+02      |
| 0.01230 |      3.920119e-07      |      1.436059e+02      |
| 0.01240 |      3.920114e-07      |      1.447734e+02      |
| 0.01250 |      3.920109e-07      |      1.459410e+02      |
| 0.01260 |      3.920104e-07      |      1.471085e+02      |
| 0.01270 |      3.920098e-07      |      1.482761e+02      |
| 0.01280 |      3.920093e-07      |      1.494436e+02      |
| 0.01290 |      3.920088e-07      |      1.506112e+02      |
| 0.01300 |      3.920082e-07      |      1.517787e+02      |
| 0.01310 |      3.920077e-07      |      1.529463e+02      |
| 0.01320 |      3.920071e-07      |      1.541138e+02      |
| 0.01330 |      3.920066e-07      |      1.552814e+02      |
| 0.01340 |      3.920060e-07      |      1.564489e+02      |
| 0.01350 |      3.920055e-07      |      1.576165e+02      |
| 0.01360 |      3.920049e-07      |      1.587840e+02      |
| 0.01370 |      3.920043e-07      |      1.599516e+02      |
| 0.01380 |      3.920037e-07      |      1.611191e+02      |
| 0.01390 |      3.920032e-07      |      1.622867e+02      |
| 0.01400 |      3.920026e-07      |      1.634542e+02      |
| 0.01410 |      3.920020e-07      |      1.646218e+02      |
| 0.01420 |      3.920014e-07      |      1.657893e+02      |
| 0.01430 |      3.920008e-07      |      1.669569e+02      |
| 0.01440 |      3.920002e-07      |      1.681244e+02      |
| 0.01450 |      3.919996e-07      |      1.692920e+02      |
| 0.01460 |      3.919990e-07      |      1.704595e+02      |
| 0.01470 |      3.919984e-07      |      1.716271e+02      |
| 0.01480 |      3.919977e-07      |      1.727946e+02      |
| 0.01490 |      3.919971e-07      |      1.739622e+02      |
| 0.01500 |      3.919965e-07      |      1.751297e+02      |
| 0.01510 |      3.919959e-07      |      1.762973e+02      |
| 0.01520 |      3.919952e-07      |      1.774649e+02      |
