Вариант коэфф-та k: k1
Число узлов n = 1001
-------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |
-------------------------------------------------------------
| 0.00000 |      3.920512e-07      |      0.000000e+00      |
| 0.00100 |      3.920510e-07      |      7.378496e-10      |
| 0.00200 |      3.920512e-07      |      3.891716e+00      |
| 0.00300 |      3.920507e-07      |      2.023693e+01      |
| 0.00400 |      3.920498e-07      |      3.302401e+01      |
| 0.00500 |      3.920484e-07      |      4.521807e+01      |
| 0.00600 |      3.920465e-07      |      5.719650e+01      |
| 0.00700 |      3.920442e-07      |      6.907127e+01      |
| 0.00800 |      3.920416e-07      |      8.088801e+01      |
| 0.00900 |      3.920384e-07      |      9.266891e+01      |
| 0.01000 |      3.920349e-07      |      1.044261e+02      |
| 0.01100 |      3.920310e-07      |      1.161668e+02      |
| 0.01200 |      3.920266e-07      |      1.278956e+02      |
| 0.01300 |      3.920218e-07      |      1.396154e+02      |
| 0.01400 |      3.920166e-07      |      1.513284e+02      |
| 0.01500 |      3.920109e-07      |      1.630361e+02      |
| 0.01600 |      3.920049e-07      |      1.747395e+02      |
| 0.01700 |      3.919984e-07      |      1.864394e+02      |
| 0.01800 |      3.919915e-07      |      1.981365e+02      |
| 0.01900 |      3.919842e-07      |      2.098313e+02      |
| 0.02000 |      3.919764e-07      |      2.215241e+02      |
| 0.02100 |      3.919683e-07      |      2.332153e+02      |
| 0.02200 |      3.919597e-07      |      2.449051e+02      |
| 0.02300 |      3.919507e-07      |      2.565936e+02      |
| 0.02400 |      3.919413e-07      |      2.682811e+02      |
| 0.02500 |      3.919315e-07      |      2.799678e+02      |
| 0.02600 |      3.919212e-07      |      2.916536e+02      |
| 0.02700 |      3.919105e-07      |      3.033388e+02      |
| 0.02800 |      3.918994e-07      |      3.150234e+02      |
| 0.02900 |      3.918879e-07      |      3.267075e+02      |
| 0.03000 |      3.918760e-07      |      3.383911e+02      |
| 0.03100 |      3.918636e-07      |      3.500744e+02      |
| 0.03200 |      3.918509e-07      |      3.617573e+02      |
| 0.03300 |      3.918377e-07      |      3.734399e+02      |
| 0.03400 |      3.918241e-07      |      3.851222e+02      |
| 0.03500 |      3.918101e-07      |      3.968043e+02      |
| 0.03600 |      3.917956e-07      |      4.084862e+02      |
