Вариант коэфф-та k: k1
Число узлов n = 1001
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |      3.806805e-07      |      0.000000e+00      |      0.000000e+00      |
| 0.00100 |      3.806803e-07      |      1.173634e+01      |      0.000000e+00      |
| 0.00200 |      3.806796e-07      |      2.347268e+01      |      2.347268e+01      |
| 0.00300 |      3.806786e-07      |      3.520903e+01      |      1.564845e+01      |
| 0.00400 |      3.806771e-07      |      4.694539e+01      |      4.694539e+01      |
| 0.00500 |      3.806752e-07      |      5.868176e+01      |      3.755631e+01      |
| 0.00600 |      3.806729e-07      |      7.041815e+01      |      7.041815e+01      |
| 0.00700 |      3.806702e-07      |      8.215456e+01      |      6.035841e+01      |
| 0.00800 |      3.806670e-07      |      9.389099e+01      |      9.389099e+01      |
| 0.00900 |      3.806634e-07      |      1.056274e+02      |      8.345866e+01      |
| 0.01000 |      3.806594e-07      |      1.173639e+02      |      1.173639e+02      |
| 0.01100 |      3.806550e-07      |      1.291005e+02      |      1.066945e+02      |
| 0.01200 |      3.806502e-07      |      1.408370e+02      |      1.408370e+02      |
| 0.01300 |      3.806449e-07      |      1.525736e+02      |      1.300034e+02      |
| 0.01400 |      3.806392e-07      |      1.643103e+02      |      1.643103e+02      |
| 0.01500 |      3.806331e-07      |      1.760470e+02      |      1.533562e+02      |
| 0.01600 |      3.806266e-07      |      1.877837e+02      |      1.877837e+02      |
| 0.01700 |      3.806196e-07      |      1.995205e+02      |      1.767376e+02      |
| 0.01800 |      3.806123e-07      |      2.112573e+02      |      2.112573e+02      |
| 0.01900 |      3.806045e-07      |      2.229942e+02      |      2.001385e+02      |
| 0.02000 |      3.805963e-07      |      2.347312e+02      |      2.347312e+02      |
| 0.02100 |      3.805877e-07      |      2.464682e+02      |      2.235535e+02      |
| 0.02200 |      3.805786e-07      |      2.582053e+02      |      2.582053e+02      |
| 0.02300 |      3.805691e-07      |      2.699425e+02      |      2.469790e+02      |
| 0.02400 |      3.805592e-07      |      2.816797e+02      |      2.816797e+02      |
| 0.02500 |      3.805489e-07      |      2.934170e+02      |      2.704125e+02      |
| 0.02600 |      3.805382e-07      |      3.051544e+02      |      3.051544e+02      |
| 0.02700 |      3.805270e-07      |      3.168919e+02      |      2.938524e+02      |
| 0.02800 |      3.805154e-07      |      3.286294e+02      |      3.286294e+02      |
| 0.02900 |      3.805034e-07      |      3.403670e+02      |      3.172974e+02      |
| 0.03000 |      3.804910e-07      |      3.521048e+02      |      3.521048e+02      |
| 0.03100 |      3.804782e-07      |      3.638426e+02      |      3.407465e+02      |
| 0.03200 |      3.804649e-07      |      3.755804e+02      |      3.755804e+02      |
| 0.03300 |      3.804512e-07      |      3.873184e+02      |      3.641992e+02      |
| 0.03400 |      3.804371e-07      |      3.990565e+02      |      3.990565e+02      |
| 0.03500 |      3.804226e-07      |      4.107947e+02      |      3.876549e+02      |
| 0.03600 |      3.804077e-07      |      4.225329e+02      |      4.225329e+02      |
